association,country,name,type,tier,cup_rank,gender,age_group,status,notes,logo_filename
CAF,Ivory Coast,Coupe de la Ligue,cup,,League cup,Men,Senior,,,cote_divoire_coupe_de_la_ligue.png
CAF,Egypt,League Cup,cup,,League cup,Men,Senior,,,egypt_league_cup.png
CAF,Kenya,Top 8 Cup,cup,,League cup,Men,Senior,,,kenya_top_8_cup.png
CAF,Lesotho,Top 8,cup,,League cup,Men,Senior,,,lesotho_top_8.png
CAF,South Africa,Top 8,cup,,League cup,Men,Senior,,,south_africa_top_8.png
CAF,Algeria,Coupe Nationale,cup,,National Cup,Men,Senior,,,algeria_coupe_nationale.png
CAF,Angola,Taça de Angola,cup,,National Cup,Men,Senior,,,angola_taca_de_angola.png
CAF,Benin,Super Coupe,cup,,National Cup,Men,Senior,,,benin_super_coupe.png
CAF,Burkina Faso,Coupe du Faso,cup,,National Cup,Men,Senior,,,burkina_faso_coupe_du_faso.png
CAF,Burkina Faso,Coupe du Faso Féminine,cup,,National Cup,Women,Senior,,,burkina_faso_coupe_du_faso_feminine.png
CAF,Burundi,Coupe du Président,cup,,National Cup,Men,Senior,,,burundi_coupe_du_president.png
CAF,Cameroon,Cameroon Cup,cup,,National Cup,Men,Senior,,,cameroon_cameroon_cup.png
CAF,Ivory Coast,Coupe Nationale,cup,,National Cup,Men,Senior,,,cote_divoire_coupe_nationale.png
CAF,Egypt,Egypt Cup,cup,,National Cup,Men,Senior,,,egypt_egypt_cup.png
